PDBID,pK
5jy0,5.55
5jy3,7.92
5jz9,3.57
5jyo,8.52
5jv1,6.07
5jzy,9.82
5jzs,3.27
5jzb,3.39
5jzn,5.96
5k03,4.74
5k05,4.96
5jyy,8.1
5k00,8.15
5k0b,6.05
5k09,6.0
5k0f,6.07
5k0c,5.96
5k0j,7.12
5k0h,7.09
5jyp,7.0
5k0i,8.7
5k13,8.74
5k0m,8.82
5k0x,8.36
5k0t,5.78
5k48,6.6
5k1d,4.68
5k1i,8.04
5k1f,4.79
5k32,8.8
5k4i,8.51
5k4j,7.11
5k4l,7.3
5k1v,5.7
5k51,4.8
5k4x,6.42
5k5n,8.05
5k76,8.3
5k6s,6.26
5k5e,6.35
5k5s,2.69
5k4z,6.15
5k8s,8.22
5k6a,4.51
5k5c,1.62
5k8v,6.34
5k7h,6.0
5ka1,4.48
5ka3,4.59
5k8n,6.32
5k9w,4.59
5k8o,5.96
5ka7,4.35
5kat,4.1
5ka9,4.41
5kab,4.68
5kau,6.52
5kad,4.43
5kam,4.11
5kax,6.11
5kap,4.23
5kbe,6.34
5kbg,6.11
5kbi,5.39
5kcb,6.0
5kbf,8.92
5kbh,6.26
5kbq,7.0
5kbr,6.59
5kcv,8.3
5kcx,6.7
5kdf,3.27
5kde,3.89
5ke0,9.7
5kdr,8.3
5kew,6.5
5kej,5.11
5kgw,4.79
5kby,8.82
5kh7,3.66
5kh3,4.22
5kgx,4.8
5kez,8.15
5khd,5.6
5kgn,9.03
5khm,8.3
5j58,7.3
5khx,7.85
5kj0,6.89
5khg,4.69
5khh,4.31
5khj,3.74
5khi,6.77
5kj2,7.82
5khk,6.39
5kjn,7.77
5kk8,5.84
5kjk,7.92
5kjm,7.19
5kkr,6.92
5kit,7.89
5klp,4.64
5kly,7.21
5klr,7.72
5klt,6.76
5klz,6.37
5km0,5.31
5kks,8.7
5km1,6.18
5kls,6.71
5kkt,9.0
5km2,4.41
5km3,4.6
5km9,4.25
5km5,6.92
5kma,4.71
5knj,6.94
5kmf,6.29
5kmh,4.62
5knr,5.85
5ko1,6.64
5kns,6.12
5knt,4.43
5knu,5.55
5koq,9.24
5kos,8.82
5kpl,6.29
5kpk,8.3
5knx,6.1
5knv,4.87
5kpm,7.82
5ko5,4.57
5kq5,8.05
5kqg,5.15
5kqx,8.44
5kqy,9.29
5kql,4.0
5kqf,6.51
5kr0,9.15
5kr1,9.49
5kre,7.23
5kqd,6.3
5ks7,5.32
5kr2,8.48
5ktu,6.21
5kr8,6.82
5ktw,7.52
5ksu,4.08
5ktx,7.7
5ksv,5.22
5ku3,4.89
5ku9,5.83
5ku6,6.84
5kw2,9.09
5kup,8.14
5kv9,5.85
5kx7,7.44
5kx8,7.42
5ksx,5.43
5kva,5.14
5kxi,7.74
5kyk,5.8
5kv8,4.84
5kww,8.13
5kya,8.22
5kzi,10.0
5kxc,5.26
5kz0,7.66
5l0c,6.15
5l0h,5.64
5kzp,7.15
5kyj,7.89
5kzq,8.28
5l2i,7.4
5l15,9.57
5l01,7.48
5l2s,7.08
5l2t,6.19
5l13,6.96
5l2o,6.12
5l26,5.35
5l17,9.3
5l2y,9.85
5l30,9.14
5l2w,6.68
5l2z,10.22
5l2m,6.89
5l2n,5.55
5l3a,4.89
5l4f,5.89
5l3j,6.64
5l3e,6.18
5l3f,6.33
5l3g,6.23
5l4j,4.28
5l4i,6.59
5l44,4.4
5l6o,8.22
5l4m,5.34
5l6p,7.26
5l7e,6.6
5l6i,4.35
5l6h,6.62
5l4e,4.61
5l7f,9.05
5l4h,3.75
5l7k,10.37
5l8a,4.91
5l7h,7.3
5l87,5.07
5l7g,7.8
5l8n,4.51
5l8o,3.38
5l6j,6.7
5l96,3.3
5l8t,3.55
5l8c,7.0
5l97,3.0
5l98,3.31
5l99,3.32
5lav,6.09
5l8y,6.4
5l9g,7.7
5l72,6.8
5l9h,6.4
5l9i,7.0
5l9o,5.4
5law,7.1
5laq,9.2
5lay,7.47
5l9l,7.1
5laz,8.4
5lb7,5.05
5lax,5.4
5lca,4.48
5k0s,8.22
5lc0,6.7
5lcf,4.75
5lch,4.69
5lce,8.04
5ldk,4.17
5lbq,5.11
5lcj,6.64
5ldm,3.86
5lck,8.1
5ldo,3.75
5ldp,4.17
5lgo,8.22
5le1,4.97
5ld8,8.05
5lgp,7.04
5lgs,7.06
5lg3,3.8
5lh4,6.96
5lh8,7.72
5lgn,5.54
5lgq,7.05
5lgt,6.51
5lif,5.87
5jzi,4.8
5lgu,7.66
5lhg,5.6
5lj0,8.0
5lgr,7.09
5lhu,4.66
5lj1,4.5
5lhi,8.11
5lj2,5.0
5ljj,7.21
5li3,7.28
5lhh,8.17
5ljq,9.0
5ljt,8.92
5ll7,5.61
5ll4,8.4
5lkr,5.48
5lla,7.72
5lle,10.22
5llc,9.52
5llg,11.13
5ll5,6.04
5llh,10.17
5llm,5.35
5lm4,3.88
5ll9,6.08
5lli,7.05
5lmb,7.8
5lma,6.6
5lne,4.76
5lm6,5.11
5lny,7.38
5lo6,7.27
5lo5,5.87
5llo,9.4
5loh,5.04
5lom,7.13
5lmk,7.43
5lpj,5.0
5lpk,5.51
5llp,9.24
5lpd,10.15
5lpm,5.56
5lpl,4.92
5lpr,6.57
5lp1,9.4
5lrq,5.8
5lrg,8.82
5lrj,8.72
5lrk,8.82
5lsh,3.39
5lsg,5.4
5lsc,4.7
5lso,5.85
5lqf,6.6
5lss,6.31
5lp6,4.76
5lsx,5.92
5lt9,4.19
5lt6,5.41
5lsy,6.54
5ltn,5.27
5lud,3.61
5lto,5.92
5lub,6.15
5luu,5.06
5lqq,7.09
5lvf,4.82
5lvq,4.14
5lu2,5.2
5lvl,5.9
5lvr,3.6
5lvd,2.62
5lvn,4.7
5ls6,9.0
5lwm,8.87
5lwn,7.77
5lwe,9.96
5lx6,5.72
5lwd,6.24
5lws,3.94
5lxb,9.77
5lxp,6.12
5lyh,6.31
5ly2,7.92
5lxc,7.97
5lxd,8.5
5lyn,5.04
5ly3,7.51
5lvx,7.25
5lyr,7.89
5lyw,6.15
5lyx,7.42
5lyy,4.85
5lz2,3.0
5lz4,5.7
5lz7,6.28
5ly1,7.53
5lz5,6.35
5lz8,6.01
5lzg,3.1
5lz9,6.92
5m04,6.34
5lzh,3.1
5m17,3.66
5lzj,3.9
5m23,8.9
5m25,8.19
5m1z,4.18
5m28,4.32
5m29,7.4
5m2q,7.52
5m0d,6.09
5m0m,8.22
5m39,4.62
5m3a,5.7
5m0s,6.69
5m34,6.82
5m2v,5.4
5m3b,6.92
5m4f,7.89
5m4i,7.89
5m44,7.4
5m4c,7.4
5m4k,5.66
5m55,6.62
5m4u,4.89
5m51,4.72
5m53,6.21
5m5q,7.05
5m6f,6.66
5m56,7.89
5m5d,3.95
5m57,4.92
5m6h,6.82
5m6m,7.36
5m63,6.96
5m9d,5.8
5m77,7.61
5m4q,3.51
5m6u,8.37
5m9w,2.24
5mae,6.84
5ma7,3.47
5maj,7.46
5m7m,6.45
5mar,4.39
5m7t,5.41
5may,6.48
5mat,6.24
5m7u,8.1
5mb1,6.6
5mav,5.48
5mek,5.38
5mf6,4.36
5mes,6.47
5meh,6.32
5mg2,7.77
5mge,4.06
5mgf,4.27
5mby,3.51
5mgg,3.3
5mev,7.0
5mgj,4.29
5mgk,4.0
5mgl,3.3
5mgi,5.95
5mgm,3.3
5m7s,9.05
5mfr,4.3
5mfs,6.48
5mgx,5.59
5mft,7.47
5mhq,6.96
5mi9,8.35
5mi3,6.84
5mja,6.66
5mim,7.34
5mjb,8.52
5mi5,6.77
5mih,4.19
5mhp,7.82
5mi7,7.11
5mk1,3.88
5mjn,8.54
5mi6,7.3
5mkj,4.31
5mk3,4.05
5mk9,4.42
5mka,4.31
5mkx,4.7
5mky,5.7
5mkz,4.7
5ml0,6.3
5ml2,7.89
5mkr,4.77
5mks,4.77
5ml3,9.69
5ml4,8.7
5ml6,9.45
5mlj,8.85
5ml8,8.1
5mli,3.9
5mmg,6.01
5mlo,5.32
5mmn,6.7
5mme,5.85
5ml5,8.0
5mlw,5.03
5mn1,2.48
5mmp,7.52
5mnb,2.48
5mnc,1.31
5mm9,6.42
5mnh,4.68
5mng,4.68
5mnn,3.84
5mno,3.84
5mnx,2.48
5mny,1.31
5mo0,4.68
5mo2,3.84
5mob,4.05
5moo,1.31
5moq,4.68
5mnr,5.46
5mos,3.79
5mon,2.48
5mo8,5.79
5moc,4.63
5mpk,8.52
5mod,3.52
5mpz,4.07
5mpn,7.07
5mqe,5.4
5mqx,5.41
5moe,3.28
5mqt,5.7
5mqy,7.11
5mrb,6.33
5mql,5.85
5mra,8.0
5mqv,8.1
5mrd,4.44
5mrh,4.2
5mro,5.7
5mri,4.4
5mrp,5.52
5mte,6.78
5mrm,5.03
5mt0,3.3
5mt4,3.3
5muc,6.04
5mts,7.15
5mw2,8.52
5mty,8.89
5mtv,4.11
5mtx,7.75
5mtw,5.72
5mw6,4.73
5mw3,6.62
5msb,7.46
5mwg,5.77
5mwa,6.82
5mwh,5.74
5mwz,5.15
5mwy,7.0
5mw4,11.7
5mwd,5.72
5mwp,7.5
5mwo,3.21
5mxk,3.39
5mxo,5.27
5mxq,5.72
5mxr,5.21
5myg,7.51
5myd,4.86
5mwj,7.61
5mxx,7.51
5my8,7.14
5mxv,4.92
5myk,9.0
5mym,5.41
5myl,5.0
5myn,4.52
5myo,10.53
5myr,4.66
5myv,7.51
5mys,4.3
5myx,8.16
5n0d,8.48
5mzg,6.86
5mz3,6.66
5n0e,8.44
5n18,5.68
5n16,5.3
5n17,5.32
5n1x,3.16
5n1p,4.6
5n0f,6.05
5mz8,2.31
5n1r,7.95
5n1s,7.99
5n21,5.96
5n1z,8.19
5n1v,6.19
5n20,4.21
5n24,8.92
5n1y,3.22
5n25,7.78
5n2t,5.08
5n2d,8.22
5n2z,5.31
5n49,6.33
5n2x,6.06
5n31,5.79
5n34,4.63
5n3v,4.34
5n4s,7.26
5n55,5.99
5n3y,5.03
5n3w,6.3
5n58,6.1
5n4t,5.97
5n53,2.55
5n7b,3.77
5n70,8.52
5n7v,8.77
5n7x,5.24
5n84,7.96
5n87,9.25
5n6s,8.09
5n7g,4.58
5n8v,6.68
5n8t,5.74
5n8e,5.33
5n93,8.66
5n8b,7.37
5n8j,5.54
5n8w,6.33
5n69,6.54
5n99,4.21
5n9n,9.39
5na0,9.77
5n9k,9.34
5n9s,8.62
5n9l,7.82
5nai,6.1
5nar,6.3
5nat,4.7
5n9t,6.66
5n9r,5.59
5nap,7.95
5nb6,6.3
5naw,7.3
5nb7,8.22
5nba,7.3
5nau,7.52
5nbw,8.59
5ndb,4.66
5ne1,8.28
5ne3,7.84
5ndd,6.46
5ndf,5.85
5ne5,7.41
5neb,7.77
5nea,10.3
5ncz,9.1
5ncy,9.4
5nfa,5.25
5nf9,5.33
5nf6,7.46
5ncq,6.96
5nee,10.7
5nfb,6.11
5nf5,6.82
5ngr,4.62
5nge,7.19
5ngf,5.11
5ngs,6.77
5nev,7.36
5ngt,5.89
5ngz,2.89
5ngb,7.72
5ngu,7.44
5nhf,9.49
5nhh,8.95
5nhl,9.52
5nhj,8.27
5nho,9.52
5nhp,7.64
5nfh,7.74
5nhy,8.64
5nhv,8.55
5nhz,5.33
5ni0,5.74
5ni7,7.7
5ni8,7.7
5ni5,8.05
5nib,7.72
5nih,6.87
5nin,7.12
5niy,4.22
5njz,7.8
5nk3,7.42
5njx,4.15
5nk2,6.74
5nk4,8.7
5nk6,6.8
5nk8,6.64
5nk9,6.14
5nk7,6.33
5nka,5.46
5nkb,9.12
5nlk,7.46
5nkc,7.72
5nkd,7.59
5nkn,9.92
5nkg,7.68
5nkh,7.59
5nki,7.72
5nkk,5.0
5nn0,10.96
5nne,4.71
5nmf,7.42
5nmg,5.75
5nme,7.09
5nn5,5.47
5nob,8.2
5np8,4.62
5nn6,5.52
5npb,7.09
5npc,4.0
5npd,7.42
5npf,4.24
5nq5,5.0
5nqe,6.15
5npe,4.0
5nqr,7.15
5nr8,6.76
5nra,6.91
5nr7,6.02
5nps,5.89
5nrf,6.79
5nsp,6.47
5npr,4.9
5nsx,6.4
5nt0,6.55
5nt4,7.77
5nu3,6.64
5ntp,9.15
5ntk,8.01
5ntt,5.75
5ntq,7.47
5nu5,6.33
5nu1,9.0
5nut,7.92
5nvc,6.19
5nve,7.46
5ntw,9.22
5nvf,7.8
5nud,7.49
5nvh,7.82
5nuu,8.2
5nvw,6.77
5nvy,6.12
5nvv,6.7
5nvz,6.77
5nvx,7.05
5nw0,6.52
5nw8,4.0
5nwb,7.8
5nw1,6.6
5nw7,5.77
5nw2,6.49
5nwc,6.15
5nwd,8.0
5nwg,6.18
5nwe,4.88
5nwz,9.1
5nwh,7.54
5nwk,6.57
5nwi,6.16
5mxf,3.59
5nx2,8.49
5nxg,8.55
5nxo,8.31
5nxi,6.66
5nxp,7.99
5nxx,4.77
5nxw,7.24
5nxv,8.46
5nxy,5.05
5ny3,7.47
5ny1,6.44
5nya,6.38
5ny6,7.87
5nyh,7.73
5nz4,6.28
5nyz,5.03
5nz2,5.03
5nzf,4.03
5nxq,6.49
5nx9,4.6
5n2f,7.1
5nze,6.39
5nzm,3.9
5nzo,2.24
5nzn,3.66
5nzp,2.19
5o07,7.47
5nzq,2.03
5o0e,4.53
5o11,6.67
5o1a,4.52
5o0a,3.24
5o0j,4.77
5o1b,4.7
5o1d,4.66
5o0s,4.24
5o1e,4.48
5o1f,4.52
5o1c,3.95
5o1g,3.94
5o0b,4.18
5o1h,4.85
5o1s,3.65
5o2d,5.68
5o1i,5.4
5o22,8.0
5o45,8.05
5o3q,5.68
5o4t,3.4
5o4f,6.68
5o3r,5.0
5o4s,5.47
5o55,4.7
5o5a,4.77
5o4y,8.15
5o5f,4.3
5o5h,4.12
5o48,4.7
5nad,8.96
5o5m,5.23
5o7n,6.52
5o58,6.72
5o7e,8.0
5o87,6.61
5o91,6.46
5o4z,6.07
5o7i,6.09
5o8t,7.13
5o9h,6.62
5o9o,4.89
5o9p,5.09
5o9q,5.21
5oai,5.15
5o83,7.96
5oah,8.31
5oa2,5.01
5o9y,5.34
5o9r,5.39
5oax,7.57
5oa6,5.51
5obj,4.78
5oaj,6.56
5oci,8.05
5od1,5.96
5oae,4.6
5obr,5.36
5ng9,6.72
5obg,7.13
5ocj,4.82
5odx,6.71
5od5,7.74
5odu,3.28
5oei,5.8
5ody,8.4
5ofx,3.96
5ogb,7.47
5ofv,1.58
5ofi,4.2
5ods,4.33
5oh2,4.24
5oh3,3.87
5oh7,4.37
5ofw,2.8
5ofu,4.2
5of0,8.63
5oh4,4.55
5oh1,4.41
5ogk,5.11
5oh9,3.86
5oha,4.89
5oje,5.21
5ok6,5.05
5ogl,4.31
5ohj,10.42
5okt,6.03
5ok3,3.52
5oku,6.26
5oht,6.02
5ohi,8.47
5ol3,5.36
5olk,6.0
5om2,4.06
5om3,4.1
5ohy,5.17
5om7,5.74
5one,7.28
5oot,7.55
5op2,6.62
5op5,6.67
5opb,7.62
5op6,4.68
5op4,6.71
5om9,4.25
5opr,5.59
5ops,5.06
5olb,7.89
5opu,7.28
5opv,7.29
5op8,4.18
5oq5,7.7
5opc,4.54
5oq6,7.56
5oq7,6.49
5oq8,5.85
5or9,4.06
5orb,4.29
5oqw,7.4
5orh,4.39
5org,8.4
5orr,3.77
5orl,4.82
5oqu,3.61
5oq4,7.6
5ort,3.05
5nn4,1.94
5orv,2.89
5orx,3.51
5orw,3.1
5ory,3.45
5orj,4.77
5orz,3.36
5os0,2.55
5ork,3.63
5os1,3.31
5os2,2.74
5os3,2.43
5os4,2.78
5os5,3.39
5os7,3.69
5osd,3.21
5ose,3.17
5os8,3.98
5osl,3.43
5ot8,4.2
5ot3,5.23
5ot9,4.07
5ost,4.56
5oss,4.55
5ota,5.74
5osk,5.6
5otc,4.71
5otr,4.92
5osy,7.37
5otz,5.19
5oui,4.03
5oua,5.57
5ou2,3.22
5ouh,5.67
5ou1,6.07
5ovc,5.96
5ov8,4.74
5oul,3.3
5oug,2.77
5ous,4.0
5ou3,6.21
5ovp,5.04
5ov9,5.66
5ovf,6.85
5ove,6.35
5ovv,4.48
5ovr,4.57
5ovg,6.4
5ovh,6.55
5ow8,5.16
5owa,5.46
5ovi,7.68
5ovx,4.5
5ow1,4.15
5owc,7.59
5owf,5.8
5ox5,5.59
5owh,5.92
5owl,5.92
5oxg,5.89
5ows,8.0
5ox6,7.54
5owt,8.17
5oxk,2.17
5oxm,1.3
5oxl,3.25
5oxn,1.96
5oyd,2.75
5q0d,9.0
5q0e,9.16
5oy3,4.15
5q0f,9.89
5q0g,9.74
5q0i,4.25
5pzn,7.39
5q0h,7.92
5q0j,6.62
5q0l,5.36
5q0m,8.1
5q0o,7.61
5q0n,8.06
5prc,4.89
5q0q,6.11
5q0p,7.41
5q0r,4.57
5pzm,5.96
5q0t,4.54
5q0s,7.21
5q0v,7.69
5q0x,7.35
5q0z,5.85
5q0y,5.73
5q0w,7.24
5q0u,6.76
5q10,5.2
5q12,5.33
5q11,5.14
5q15,8.05
5q13,7.04
5q14,7.68
5q16,7.87
5q18,7.17
5q17,5.25
5q19,7.32
5q1a,8.02
5q1c,8.08
5q1g,3.58
5q1b,7.31
5q1d,6.12
5q1f,7.14
5q1e,6.92
5q1h,5.1
5qa4,3.77
5qa5,3.52
5qa6,3.76
5qa7,3.96
5q1i,6.24
5qa8,3.77
5qa9,3.64
5qaa,3.91
5qab,3.65
5qac,3.6
5qae,3.62
5qad,3.77
5qag,3.7
5qah,3.84
5qaf,3.51
5qai,3.82
5qaj,3.48
5qak,3.66
5qal,3.46
5qao,3.62
5qam,4.0
5qan,3.96
5qaq,3.54
5qar,3.77
5qap,4.0
5qat,3.85
5qas,3.72
5qaw,3.4
5qau,4.15
5qay,3.23
5qav,4.15
5qax,3.8
5qb0,3.8
5qb1,4.7
5qaz,3.4
5qb2,4.15
5qb3,4.31
5qbv,6.37
5qby,7.4
5qck,7.64
5qc4,6.82
5qcl,7.96
5qcn,8.22
5qcm,6.96
5qil,11.52
5qin,10.4
5qim,11.22
5qik,7.66
5qqo,7.77
5svi,5.17
5qj2,7.68
5qqp,8.28
5svx,6.19
5qtt,8.47
5qtu,8.39
5svy,6.13
5std,10.49
5sve,5.74
5qj3,7.62
5swf,6.26
5sxm,8.54
5swh,7.59
5svz,5.92
5svl,8.55
5svk,8.48
5sy2,4.96
5sxn,4.96
5sym,6.55
5syn,6.62
5sy3,4.37
5sys,7.36
5sz0,9.1
5sz1,8.92
5sz2,8.7
5sz3,8.6
5sxk,4.7
5sz4,9.7
5sz5,7.7
5sz6,7.0
5szb,5.11
5sz7,9.7
5szc,4.69
5sz9,4.42
5t1i,3.92
5t18,9.3
5t1s,7.08
5t19,4.49
5t1t,7.24
5t1a,7.89
5t1l,6.62
5t1k,6.28
5t1m,5.82
5swg,4.48
5t1u,7.16
5t1w,7.11
5t23,5.8
5t28,8.49
5t2b,8.3
5t27,7.1
5t2t,6.29
5t2g,8.1
5t2m,9.2
5t2l,8.2
5t31,6.96
5t2d,9.1
5t2i,8.7
5t3n,8.04
5t36,7.37
5t37,6.62
5t2y,5.66
5t35,7.18
5t4u,5.32
5t4v,7.22
5t2p,5.72
5t4b,9.38
5t52,9.28
5t5g,5.89
5t4e,5.36
5t4h,8.03
5t66,8.43
5t6f,5.8
5t6g,5.96
5t54,9.06
5t6j,4.93
5t7s,4.1
5t4f,8.0
5t6p,6.06
5t68,7.64
5t8e,9.14
5t78,7.37
5t8j,9.0
5t8r,4.29
5t8o,6.51
5t8p,5.89
5t6z,4.21
5t8q,4.16
5t97,7.77
5t9u,7.6
5t70,3.99
5t9w,5.59
5t9z,7.19
5ta4,7.62
5tb6,5.82
5ta2,7.96
5t92,7.8
5tbn,5.44
5ta6,8.82
5tbm,7.31
5tca,7.72
5tc0,7.6
5tbe,8.97
5tbj,5.82
5tcy,7.66
5tcc,5.66
5t90,6.68
5tco,8.19
5tdb,5.84
5tcj,7.38
5tdr,4.54
5tdw,4.7
5tdi,9.74
5td2,8.66
5teg,6.85
5tbp,5.18
5tci,6.88
5td7,5.77
5teh,7.55
5tg1,5.82
5tg2,5.49
5tex,6.4
5tg4,3.32
5tfx,7.22
5tg6,4.55
5tgy,7.35
5tg7,4.53
5tg5,4.01
5tef,5.4
5thi,3.61
5th4,2.85
5th7,5.16
5thj,2.87
5thn,4.02
5ti0,4.21
5ti2,4.62
5th2,4.52
5ti3,4.36
5ti5,4.39
5ti4,4.59
5tgc,6.7
5ti6,4.68
5tho,7.64
5tha,3.85
5tig,4.22
5ti7,4.96
5tiu,8.3
5tkd,8.15
5tjx,6.82
5tks,7.17
5tkb,7.89
5tkt,8.49
5tku,9.8
5tkj,8.15
5tln,6.37
5tl9,9.0
5toe,5.6
5tmp,7.47
5tnt,8.31
5tp0,5.44
5to8,8.51
5toz,9.46
5tob,8.82
5tpx,6.55
5tpb,2.59
5tq1,5.49
5tpc,3.0
5tmn,8.04
5tol,7.48
5tq3,8.66
5tpg,7.85
5tq4,8.38
5tq5,7.23
5tq6,6.91
5tqs,5.86
5tq7,7.67
5tq8,7.64
5trf,9.06
5tr6,8.49
5tqf,8.3
5tqg,9.62
5tqe,6.72
5trh,5.08
5trg,7.82
5tri,5.06
5trj,5.92
5trk,5.21
5trr,7.39
5tt7,7.89
5tqu,7.6
5trs,8.0
5try,7.8
5ts0,7.8
5tts,7.25
5ttg,7.34
5tt3,6.71
5ttu,7.33
5tt8,6.5
5ttf,6.21
5ttv,7.54
5tur,6.05
5ttw,5.96
5tuy,6.35
5tuo,6.49
5tuz,7.4
5tv3,8.09
5tv1,7.24
5tvn,9.04
5tuq,6.35
5tw2,7.3
5twg,6.17
5tw5,7.42
5twj,5.25
5twh,6.55
5twl,7.98
5twx,7.52
5two,8.09
5twz,7.87
5tx3,8.85
5tus,4.43
5txy,5.46
5tx5,7.8
5tw3,8.7
5ty1,5.21
5ty8,5.46
5ty9,5.21
5tyi,6.89
5tya,4.48
5tyh,2.08
5tyo,8.21
5tyj,7.46
5tyl,7.82
5typ,7.6
5tyk,7.65
5tyr,9.59
5tys,10.72
5tzd,5.74
5tz3,6.85
5tzf,5.8
5tzg,5.8
5tza,9.0
5tzo,5.23
5tyn,9.28
5tzc,8.1
5tzh,6.17
5u06,6.66
5tzy,8.7
5tzw,6.01
5tzz,7.85
5u0d,4.54
5u0g,4.58
5u0f,5.47
5tzx,7.28
5u00,8.7
5u0e,5.11
5u0w,4.24
5u1q,5.96
5u28,7.17
5u0y,6.08
5u0z,6.19
5u11,5.35
5u14,5.34
5u2c,6.63
5u2e,6.56
5u2f,6.71
5u2j,5.92
5u3b,8.82
5u48,6.33
5u49,6.14
5u13,5.41
5u12,5.07
5u4a,6.36
5u4b,5.74
5u4c,6.0
5u4d,6.33
5u4f,6.33
5u4e,6.35
5u4g,6.1
5u51,4.92
5u5k,4.02
5u5l,4.85
5u5h,5.89
5u5t,5.41
5u4x,8.15
5u62,5.89
5u66,3.0
5u69,6.22
5u6v,7.68
5u6b,9.89
5u6d,8.59
5u6j,7.64
5u7i,7.18
5u7j,6.41
5u6k,5.22
5u7k,8.15
5u6c,10.3
5u7d,9.3
5u7l,6.37
5u94,7.19
5u7o,7.14
5u7m,6.74
5u8a,7.89
5u9i,7.31
5u98,9.7
5uc4,6.46
5u9d,9.26
5u8f,7.96
5uch,6.01
5uc1,7.85
5u8c,7.53
5ubg,5.17
5uci,5.37
5ue4,6.36
5ueu,7.78
5ucj,6.36
5uex,8.82
5uez,6.01
5uey,8.29
5uf0,3.8
5ubt,8.62
5uff,4.24
5ufc,5.16
5ufi,8.4
5ufr,8.7
5ufo,7.43
5ufs,8.49
5ufp,7.37
5uac,8.3
5uga,6.79
5ugd,6.62
5ug8,8.7
5ug9,8.1
5ugg,6.42
5ugb,6.79
5ugc,7.89
5uhi,8.04
5ugm,5.9
5uig,7.95
5uiq,4.26
5uir,7.14
5ujo,4.36
5uis,6.84
5ujv,3.6
5ugh,6.77
5uit,8.34
5uiu,9.7
5ual,3.58
5ukk,6.21
5ul6,8.22
5ukl,6.2
5ukm,7.52
5ula,7.11
5ul5,6.97
5ukj,7.16
5uk8,6.4
5ulg,6.72
5umw,4.23
5ult,10.85
5uln,7.85
5ulp,4.61
5umx,5.96
5umy,6.97
5unj,6.62
5un1,5.8
5umz,7.12
5ul1,6.64
5uoo,8.85
5unp,10.02
5uor,8.2
5ung,9.47
5uov,10.6
5uox,8.3
5unh,9.46
5up3,7.9
5uoy,7.57
5unf,9.47
5upj,7.12
5tkk,8.28
5upz,9.2
5up0,6.34
5uqv,6.37
5uqx,6.21
5ur9,6.05
5upe,8.05
5ur1,8.97
5ura,6.4
5ur6,7.06
5upf,8.6
5usq,7.0
5ur5,7.14
5usy,7.51
5usz,6.97
5uq9,6.15
5ut0,5.88
5ut4,4.38
5ut6,4.24
5usf,9.16
5uuu,7.74
5uv1,5.62
5uv2,4.4
5urk,6.1
5urj,5.28
5uvc,8.21
5uv5,7.7
5urm,5.28
5uwk,8.64
5uwl,8.03
5uwf,7.23
5uwn,7.87
5uwm,6.45
5uw5,5.96
5ux4,7.05
5uxm,5.44
5uxf,7.06
5uxn,4.64
5uyu,9.51
5uwj,5.7
5uwp,5.8
5uzj,6.78
5uwi,5.8
5v0n,7.17
5v19,3.3
5v1b,7.47
5uzk,6.74
5v1y,8.15
5v13,7.63
5uy8,8.3
5v1d,6.7
5v24,6.4
5v35,6.96
5v2l,3.54
5v2p,8.29
5v2q,8.28
5v3o,7.22
5v3r,5.3
5v3h,8.3
5v3y,6.72
5v37,9.47
5v3x,6.59
5v5d,5.27
5v40,5.8
5v41,6.15
5v5e,5.52
5v42,6.62
5v5n,8.02
5v5y,7.87
5v4q,2.57
5v6u,2.26
5v4b,6.0
5v5o,4.14
5v7t,6.21
5v6y,8.47
5v49,7.3
5v79,6.41
5v7a,6.38
5v7w,7.12
5v82,10.15
5uz0,7.8
5v86,7.1
5v88,7.55
5v84,6.7
5v83,5.16
5v8q,8.44
5v7i,7.18
5v8p,4.99
5v8o,3.77
5var,4.09
5v9t,7.35
5v8v,8.89
5v9p,6.14
5vb6,6.37
5vb5,6.46
5vad,9.12
5vb7,6.72
5va9,7.84
5vb9,5.89
5vc3,7.11
5vc4,7.36
5vc6,7.87
5vc5,7.96
5vd0,6.49
5vcv,6.82
5vcx,5.55
5vcy,6.57
5vcw,5.96
5vd1,6.0
5vcz,6.35
5vd2,7.1
5vdk,7.57
5vd3,5.55
5uah,3.4
5vdo,3.3
5vdq,3.67
5vdr,3.3
5vdp,4.05
5vds,3.3
5vdu,3.7
5vdv,3.7
5vdt,4.68
5vdw,3.7
5vee,6.11
5vew,5.15
5vfj,4.7
5vfd,6.44
5vfm,3.82
5vfc,9.05
5vex,4.63
5vh0,4.52
5vfn,3.52
5vgi,6.98
5vgy,4.18
5vgo,8.7
5vi6,8.52
5vja,6.59
5vio,8.62
5vih,7.49
5vil,8.82
5vk0,9.74
5vjn,5.06
5vii,7.29
5vij,7.61
5vkf,4.77
5vkc,8.74
5vjp,4.83
5vkm,3.55
5vm0,8.8
5vlh,6.8
5vlk,5.26
5vm6,7.11
5vl2,8.42
5vnd,6.49
5vll,6.37
5vlp,6.08
5un9,7.68
5vnb,5.3
5vo1,8.15
5vom,6.1
5vo6,9.05
5voj,8.44
5vp9,8.99
5vp0,9.21
5vpm,8.8
5vp1,9.29
5vlr,8.52
5vqi,6.25
5vqe,1.49
5vqr,5.92
5vqs,5.7
5vqq,5.28
5vqt,5.74
5vo2,6.81
5vqu,5.11
5vqw,5.7
5vqv,6.4
5vrl,7.11
5vqy,6.29
5vqz,6.39
5vrp,8.89
